step,i_edges_total,i_edges_cumul,i_edges_avg,i_edges_deriv,m_edges_total,m_edges_cumul,m_edges_avg,m_edges_deriv,i_total_total,i_total_cumul,i_total_avg,i_total_deriv,m_total_total,m_total_cumul,m_total_avg,m_total_deriv
1,15.262,15.262,15.262,0.0,5.192,5.192,5.192,0.0,26.25,26.25,26.25,0.0,25.134,25.134,25.134,0.0
2,15.248,30.509999999999998,15.254999999999999,-0.014000000000001123,5.194,10.386,5.193,0.0019999999999997797,26.236,52.486000000000004,26.243000000000002,-0.013999999999999346,25.136,50.269999999999996,25.134999999999998,0.0019999999999988916
3,15.31,45.82,15.273333333333333,0.062000000000001165,5.08,15.466,5.155333333333333,-0.11399999999999988,26.298,78.784,26.261333333333337,0.06199999999999761,25.022,75.292,25.097333333333335,-0.11400000000000077
4,15.276,61.096000000000004,15.274000000000001,-0.034000000000000696,5.038,20.503999999999998,5.1259999999999994,-0.041999999999999815,26.264,105.048,26.262,-0.03399999999999892,24.98,100.272,25.068,-0.04199999999999804
5,15.35,76.446,15.2892,0.07399999999999984,5.078,25.581999999999997,5.1164,0.040000000000000036,26.338,131.386,26.2772,0.07400000000000162,25.02,125.292,25.0584,0.03999999999999915
6,15.264,91.71,15.284999999999998,-0.0860000000000003,5.152,30.733999999999998,5.122333333333333,0.07399999999999984,26.252,157.638,26.273,-0.08600000000000207,25.094,150.386,25.064333333333334,0.07400000000000162
7,15.276,106.98599999999999,15.283714285714284,0.012000000000000455,5.27,36.004,5.143428571428571,0.11799999999999944,26.264,183.90200000000002,26.27171428571429,0.012000000000000455,25.212,175.59799999999998,25.08542857142857,0.11799999999999855
8,15.226,122.21199999999999,15.276499999999999,-0.049999999999998934,5.308,41.312,5.164,0.038000000000000256,26.214,210.116,26.264499999999998,-0.05000000000000071,25.25,200.84799999999998,25.106,0.038000000000000256
9,15.286,137.498,15.277555555555555,0.05999999999999872,5.234,46.546,5.171777777777778,-0.07399999999999984,26.274,236.39000000000001,26.265555555555554,0.060000000000002274,25.176,226.02399999999997,25.113777777777777,-0.07400000000000162
10,15.146,152.644,15.2644,-0.1399999999999988,5.266,51.812,5.1812,0.03200000000000003,26.134,262.524,26.2524,-0.14000000000000057,25.208,251.23199999999997,25.1232,0.03200000000000003
11,15.202,167.846,15.258727272727272,0.05599999999999916,5.118,56.93,5.175454545454546,-0.1479999999999997,26.19,288.714,26.246727272727274,0.05600000000000094,25.06,276.292,25.117454545454542,-0.1479999999999997
12,15.256,183.102,15.2585,0.05400000000000027,5.228,62.158,5.179833333333334,0.10999999999999943,26.244,314.95799999999997,26.246499999999997,0.053999999999998494,25.17,301.462,25.12183333333333,0.11000000000000298
13,15.228,198.33,15.256153846153847,-0.02800000000000047,5.14,67.298,5.176769230769231,-0.08800000000000008,26.216,341.174,26.244153846153843,-0.027999999999998693,25.082,326.544,25.118769230769228,-0.08800000000000097
14,15.254,213.584,15.256,0.0259999999999998,5.178,72.476,5.176857142857143,0.038000000000000256,26.242,367.416,26.244,0.0259999999999998,25.12,351.664,25.11885714285714,0.038000000000000256
15,15.25,228.834,15.2556,-0.0039999999999995595,5.25,77.726,5.181733333333333,0.07200000000000006,26.238,393.654,26.2436,-0.004000000000001336,25.192,376.856,25.123733333333334,0.07199999999999918
16,15.366,244.2,15.2625,0.11599999999999966,5.104,82.83,5.176875000000001,-0.1459999999999999,26.354,420.008,26.2505,0.11599999999999966,25.046,401.902,25.118875,-0.1460000000000008
17,15.29,259.49,15.264117647058825,-0.07600000000000051,5.23,88.06,5.180000000000001,0.12600000000000033,26.278,446.286,26.252117647058824,-0.07600000000000051,25.172,427.074,25.122,0.12600000000000122
18,15.084,274.574,15.254111111111111,-0.20599999999999952,5.258,93.318,5.184333333333334,0.02799999999999958,26.072,472.358,26.24211111111111,-0.20599999999999952,25.2,452.274,25.126333333333335,0.027999999999998693
