step,i_edges_total,i_edges_cumul,i_edges_avg,i_edges_deriv,m_edges_total,m_edges_cumul,m_edges_avg,m_edges_deriv,i_total_total,i_total_cumul,i_total_avg,i_total_deriv,m_total_total,m_total_cumul,m_total_avg,m_total_deriv
36,12.11,436.81200000000007,12.133666666666668,-0.014000000000001123,2.21,79.182,2.1995,0.03799999999999981,23.0,828.8520000000001,23.02366666666667,-0.013999999999999346,22.258,800.91,22.247500000000002,0.038000000000000256
37,12.17,448.9820000000001,12.134648648648652,0.0600000000000005,2.166,81.348,2.1985945945945944,-0.04400000000000004,23.06,851.912,23.02464864864865,0.05999999999999872,22.214,823.124,22.246594594594594,-0.04400000000000048
38,12.034,461.0160000000001,12.132000000000001,-0.13599999999999923,2.252,83.6,2.1999999999999997,0.08599999999999985,22.924,874.836,23.022000000000002,-0.13599999999999923,22.3,845.424,22.248,0.08600000000000207
39,12.148,473.1640000000001,12.132410256410258,0.11399999999999899,2.258,85.85799999999999,2.201487179487179,0.006000000000000227,23.038,897.874,23.022410256410257,0.11400000000000077,22.306,867.73,22.24948717948718,0.006000000000000227
40,12.156,485.3200000000001,12.133,0.008000000000000895,2.186,88.04399999999998,2.2011,-0.07200000000000006,23.046,920.9200000000001,23.023,0.007999999999999119,22.234,889.964,22.249100000000002,-0.07199999999999918
41,12.178,497.4980000000001,12.13409756097561,0.02200000000000024,2.2,90.24399999999999,2.2010731707317075,0.014000000000000234,23.068,943.988,23.02409756097561,0.022000000000002018,22.248,912.2120000000001,22.24907317073171,0.013999999999999346
42,12.138,509.6360000000001,12.134190476190476,-0.040000000000000924,2.264,92.50799999999998,2.2025714285714284,0.06399999999999961,23.028,967.0160000000001,23.024190476190476,-0.0400000000000027,22.312,934.5240000000001,22.25057142857143,0.06400000000000006
43,12.194,521.83,12.135581395348835,0.05600000000000094,2.118,94.62599999999998,2.2006046511627906,-0.1459999999999999,23.084,990.1,23.025581395348834,0.05600000000000094,22.166,956.6900000000002,22.248604651162793,-0.1460000000000008
44,12.116,533.946,12.135136363636361,-0.07800000000000118,2.264,96.88999999999997,2.202045454545454,0.1459999999999999,23.006,1013.106,23.02513636363636,-0.0779999999999994,22.312,979.0020000000002,22.250045454545457,0.1460000000000008
45,12.132,546.078,12.135066666666663,0.016000000000000014,2.174,99.06399999999998,2.201422222222222,-0.08999999999999986,23.022,1036.128,23.025066666666664,0.015999999999998238,22.222,1001.2240000000002,22.249422222222226,-0.08999999999999986
46,12.106,558.184,12.134434782608693,-0.0259999999999998,2.204,101.26799999999997,2.201478260869565,0.03000000000000025,22.996,1059.124,23.024434782608697,-0.0259999999999998,22.252,1023.4760000000001,22.24947826086957,0.029999999999997584
47,12.242,570.4259999999999,12.136723404255315,0.136000000000001,2.152,103.41999999999997,2.2004255319148935,-0.052000000000000046,23.132,1082.256,23.02672340425532,0.13600000000000279,22.2,1045.6760000000002,22.248425531914897,-0.0519999999999996
48,12.214,582.64,12.138333333333334,-0.02800000000000047,2.136,105.55599999999997,2.1990833333333333,-0.016000000000000014,23.104,1105.3600000000001,23.028333333333336,-0.028000000000002245,22.184,1067.8600000000001,22.247083333333336,-0.015999999999998238
49,12.014,594.654,12.135795918367347,-0.20000000000000107,2.322,107.87799999999997,2.201591836734694,0.18599999999999994,22.904,1128.2640000000001,23.02579591836735,-0.1999999999999993,22.37,1090.23,22.249591836734695,0.18599999999999994
50,12.152,606.806,12.13612,0.1379999999999999,2.252,110.12999999999997,2.2026,-0.07000000000000028,23.042,1151.306,23.026120000000002,0.13800000000000168,22.3,1112.53,22.2506,-0.07000000000000028
